	Username	Id	Tweet	Location
0	____syaf	948158787851972608	RT @muftimenk: There are still people who aren’t taking this #coronavirus outbreak seriously. Remember, it’s not just about you. Spare a th…	
1	452Tefiti	1200336390409609216	RT @GiorgiaMeloni: La politica dei piccoli passi applicata alla pandemia #Coronavirus. Ennesimo annuncio di Conte, ennesimo decreto in cui…	
2	ecocrided	42790915	El coronavirus en China | DW Documental https://t.co/cXC31u3oVc via @YouTube	
3	Zfk6iY81	876459498151395328	"RT @jburnmurdoch: NEW: Saturday 21 March update of our coronavirus mortality trajectories tracker

• Today we add annotations showing when…"	Japan🇯🇵
4	Pj_THEcomic	471442181	RT @ThomasEWoods: Founding director of Yale University’s Yale-Griffin Prevention Research Center asks if shutting down everything and wreak…	
5	jitendragurjarp	957502151252525057	RT @SachinPilot: I request everyone to look after themselves in these challenging times. Stay home as much as possible, keep yourself and y…	Dausa
6	sagar60000063	944461824845590528	RT @BillNeelyNBC: 3 things I have learned about the #coronavirus crisis. 1. Hospitals are not the frontline in this war. You are. The medic…	
7	LalitaYami	844189495	RT @Kicillofok: Cada uno debe quedarse en su casa y solo abandonar el hogar para hacer lo mínimo, evitando los contagios y para darle un co…	
8	lilyrae93	2935713124	RT @TCChoco: Me and my best friend reuniting once coronavirus has disappeared	nassau bahamas
9	calyp5o	2179301910	RT @jeffcanoy: Full video is brilliant. Science behind handwashing vs coronavirus	sᴏ ᴍᴀɴʏ ғᴀɴᴅᴏᴍs ᴛᴏ ᴛᴡᴇᴇᴛ ᴀʙᴏᴜᴛ
10	jessl0vattz	738839491771805696	RT @TCChoco: Me and my best friend reuniting once coronavirus has disappeared	Portugal
11	MamieNicole9	804553360997285888	RT @MathildePanot: 🔴 Nous nous battons pour que le gouvernement ne laisse pas les employeurs décider seuls de faire travailler leurs salari…	Vosges, Lorraine
12	ShempKnowsBest	822514800055832576	RT @Thomas1774Paine: Bayer donates millions of tablets of malaria drug that could fight coronavirus to U.S. government https://t.co/lz5Gw7Q…	
13	VelindaDe	2836377093	"RT @charlesnisz: Doações na crise do coronavírus:

CHINA
Alibaba - US$145 mi
Tencent - US$ 43 mi

ITÁLIA
Armani - US$ 2 mi

EUA
Facebook -…"	Terra Redonda
14	AAPRevolutionCG	176335427	"RT @Vishj05: World over: Preparing to fight Coronavirus.

India: Preparing and doing reharsals for banging Thalis and ringing bells."	Bhilai
15	MarcosAyala12	524744277	RT @Nyscalo: Vivo en Shanghái. Parece que la crisis del coronavirus empieza a estar controlada por fin en China. Os voy a contar cómo se ha…	Asuncion paraguay
16	mm_0774	879342832288321537	"RT @IjtabaShafi: DAPAAN

The Coronavirus will explode because India is full of irresponsible covidiots who ask everything from the governme…"	India
17	Kuldeep62454194	1091731937444544512	"RT @RASunartii: It has become necessary for all countries like Italy China USA India Iran Russia Japan Brajil 
 to know that who is the sav…"	Barwala Hisar Haryana
18	isthatdexta	1113232242644533248	RT @BillNeelyNBC: 3 things I have learned about the #coronavirus crisis. 1. Hospitals are not the frontline in this war. You are. The medic…	NWLdn
19	ariesdenis_e	54954527	RT @NTelevisa_com: Cualquier persona que ingrese a China está sujeta a una cuarentena de 14 días, independientemente del país desde el que…	México
20	JocelynDomin	180087414	RT @infobae: Murió el ex presidente del Real Madrid Lorenzo Sanz por coronavirus https://t.co/VMtsmBpvMO	Buenos Aires, Argentina
21	shanmugam21284	2953875205	"RT @ThanthiTV: துபாய், சிங்கப்பூர் உள்ளிட்ட நாடுகளில் இருந்து திருச்சி வந்த வெளிநாட்டினர் 22 பேருக்கு கொரோனா அறிகுறி

* ஏற்கனவே கள்ளிக்குடி…"	konankuppam,tamilnadu,india
22	ayakxshi	609609143	"RT @Savagekizz: COVID-19 
Finally, some sensible advice from a Nurse

“What I have seen a lot of are recommendations for how to try to avoi…"	
23	Mr_ErickAlvares	702161364668776452	@legadaodamassa O coronavírus voando com junto com o espirro da pessoa.	PVH - Helldônia
24	SrinivasanMahe5	1219899307039457285	RT @theeejay: Yesterday, Superstar #Rajinikanth's words were interpreted as usual in different ways without looking at his good intentions.…	Velur,Namakkal
25	MrShuggoth	2209901180	@GOPChairwoman Did you have Coronavirus the last time your head was up Trump’s butt?	
26	tomasvv1	2433040214	RT @Psicovivir: Definitivamente hay que ser estúpido, profundamente estúpido, incluso más allá de estúpido, para en plena crisis de #corona…	
27	yalimartorres	53759886	RT @CNNEE: Los fumadores de cigarrillos electrónicos son otro grupo vulnerable frente al coronavirus, junto con los adultos mayores y perso…	
28	ConanPercy	2356365085	"RT @charliekirk11: The Washington Post:

“The US Should Have Led the Coronavirus response. Instead, China Stepped Up”

By “stepped up” do t…"	
29	JuanMan09711795	1169023217421496321	"RT @ErnesBustamante: en tiempo real). Los genes virales cuyo ARN se debe examinar son: N, E, S y RdRP.
Para hacer el test molecular de coro…"	
30	minori23171950	1204977486884270080	"RT @CallemAronsen: Some Koreans make a new campaign to bash japan about the Chinese Wuhan Coronavirus virus

Yet south korea has a higher r…"	日本
31	bhagwandas_cg	234770999	"RT @ErikSolheim: Bravo!
South Korea 🇰🇷 has set up ‘phone booths’ that can test people for the coronavirus in just 7 minutes. The country ha…"	
