Username,Id,Tweet,Location
nephraz,16905144,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Atlanta, GA"
SurrealFida,173975570,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Swansea City
annaleenock,346321134,@BRATPlTT i have beeeeen looking for the facemask can u gift me one???,"Los Angeles, CA"
DukeDylan15,619925590,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Richland Hills, TX"
udoeka,134027644,The nation is burning and your law makers take the day off. Great stuff.,Earth
JudyHarris15,545311014,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Earth
Aliyu_P_C,1130160040814481410,RT @Hafsaahh__: Deadddddddddd😭😭😹😹😹😹,"Kaduna, Nigeria"
UncleJim_NG,1678871472,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Abuja, Nigeria 🇳🇬"
ABUmathematicia,1187827581904662531,"RT @Undone_rice: Present - mask on
Future - mask off",Sun🌅🌄🌄
just_meelle,1318169461,RT @signoutlife: she needs love more than a mask,PNW
regis_alenda,111608856,"RT @ZachWeiner: Boy, the prepper community got mad about this post, but the gas mask fetishists have been remarkably polite.","London, UK"
OG_Nakamura,89142525,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
efe_os,340512017,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Top secret 
Aseyori6,1014797572224012288,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,In your head💀
kosind,310878976,"@kosmo600 I am going to ware a face mask and tell them it's to protect them, then toss it off all day in my office.",Nationality: YORKSHIREMAN
FvckLaDarin_,397808937,RT @LightyDMV: I bet this bitch is walking around with a mask and gloves now https://t.co/MCSi8DaBKB,"RIP Ebony, 1/28/90-4/16/18"
LidijaMaslovar,396678393,RT @futurism: Here's to smart fixes. https://t.co/5onTEjo7IL,"Budva , Montenegro"
lifeofgarnet,1039203880683352064,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Wet dreams
