	Username	Id	Tweet	Location
33	iam_dioo	1853908873	RT @andreasharsono: Indonesia's head of the #COVID19 Task Force, Lt. General Doni Monardo, complained about Health Minister Terawan Putrant…	Bandung, Jawa Barat, Indonesia
34	VictorB123	21345227	RT @SDuncovered: Thread / A full statement about Steve Padilla's health: “After experiencing worsening symptoms, Steve Padilla was admitted…	California
35	ElmoQuillero	996212238297059333	Si te piden aislamiento preventivo, quedate en tu casa malparido hijueputa irresponsable #Covid_19	
36	MmSONICmM	3159953167	RT @ShinitaiHana: BREAKING NEWS: Due to the recent COVID-19 outbreak, the Vytal Festival has been cancelled. https://t.co/rSbp4CMz4x	Still stuck in idol hell
37	0_5dewa	1216051034205782022	"📣 OPEN PROMOTE
Sabtu, 20 maret 2020
#programfolback 
Cc abang kite @TheArieAir 

Reply : kuatnya #programfolback 
Jangan lupa RT dan like gaess.

Mari minimalkan penyebaran virus covid 19,  semangat.

#PromotorIndependen 
@tjhinfar21
@ayah_9garislucu
@hamka_sutra
@hmsafrizalsh https://t.co/F7qWwA9gdf"	
38	Irishmn60	1116694966414336000	RT @JoeBiden: The words of a president matter, and Donald Trump has used his to downplay COVID-19 and mislead the American people. He is un…	Naples FL
39	almuntazar_	1087266489780994048	"RT @anwaribrahim: Langkah pantas kerajaan negeri untuk mengurangkan beban COVID-19 sangat wajar.

Langkah ini sejajar dengan kerajaan neger…"	
40	alarconmatias11	2919752482	RT @LuisBareiro: Vaya mi reconocimiento a los bioquímicos del Ministerio de Salud que están trabajando las 24 horas del día para realizar l…	
41	bewitchingbun	716099724818776065	RT @carterforva: I'm old enough to remember when Joe Biden said Italy has a universal healthcare system and they're struggling with COVID-1…	Dumb ol' Texas
42	s9873	147106464	RT @JustinTrudeau: As you cope with the COVID-19 situation, we're focused on helping you get through this. Here’s what we’re doing to suppo…	Khanabadosh
43	lelesganzerla1	701072352726163461	"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…"	Brasil
44	Mulher_Noticia	406766589	RT @PNS_News: Like grocery stores, food assistance sites are exempt from mandatory closures to promote social distancing. However, local di…	Curitiba-PR, terra do fascismo
45	tatty1025	1240751472134021122	RT @laopinioncucuta: #Atención | Asciende a 6 el número de casos confirmados de #COVID-19 en #Cúcuta. La cifra de contagiados por #coronavi…	
46	chizeyrita	249361412	"RT @SinlineaMx: #DesmentidosDelDía 
👉Hugo López-Gatell desmiente que el Gobierno de México prohíba realizar pruebas de Covid-19. 
Acá la in…"	
47	HardBoiledPika	4852284191	RT @Theodoredeath: Gamestop executives when they get asked why they would risk exposing covid-19 to their employees https://t.co/nUtiXP6bqq	Hell
48	dafloitlerh88	1217563928248692741	RT @marcorubio: #China denied the world valuable information early in the #Covid_19 crisis that could have delayed spread. Let’s focus now…	
49	JeanLucPilchard	3193143989	"Remember this is a #NovelCoronavirus.

Assume nothing.

#Italy is ranked 92nd for global BMI. 
#USA is #1

#obesity is often linked with coronary heart disease and diabetes - high risk 'underlying' conditions.

#Covid_19 #covid19UK #CoronaVirusUpdate
https://t.co/OrVm3nNsVY"	Vietnam
50	CajunBornUSA	909912205008699397	RT @NoahPollak: Israeli pharmaceutical company Teva announces donation of 6 million Hydroxychloroquine tablets to US hospitals to fight Chi…	
51	chuckjugo	919131662	"RT @BenjaminNorton: It's of course true that this is a racist, stupid name for Covid-19

But ironically Democracy Now has repeatedly echoed…"	
52	syfy09	4456153995	RT @SquatloBob: Millions of Americans are watching their life's savings disappear in a collapsing stock market. They're told they can't lea…	Atlanta, GA
53	bryanmepstein	933200845	RT @annalecta: UPDATE: Haven't had a chance to personally verify everything, but at least 4 GOP Senators have been accused of dumping stock…	Wellington, FL 
54	samicakes	24484273	"RT @VNL: A friend in LA died today of COVID-19. 

He was 34.

Please. Stay. Home.
https://t.co/FHULFhqoVQ"	757
55	jhonmo16	4541834237	RT @MinSaludCol: Confirmamos 20 nuevos casos de coronavirus en Colombia. Los diagnósticos se presentan en Bogotá (8), Cúcuta (3), Armenia (…	
56	24HorasTVN	90227660	RT @marcoefe: EN VIVO #Hora24 @felileon nos acompaña desde Nueva York y nos cuenta cómo se enfrenta el brote de Covid-19 @24HorasTVN	Santiago, Chile
57	mariamontesgonz	872587158011379712	"RT @AccionNacional: Así, México está enfrentando una de las peores crisis sanitarias de las que se tenga memoria: #Covid_19

La negligencia…"	
58	azwakbiawak	1314239700	RT @UstazAmirulAmin: Dekat Italy tiada ruang lagi untuk tanam mayat mangsa covid 19.Dorang plan untuk bakar terus.Tiap hari beribu orang ma…	
59	marc_mcgrane	3066805151	RT @carlyaquilino: If you feel sick please don’t waste the few COVID-19 tests they have. There are still a LOT of movie stars with no sympt…	Atlanta, GA
60	SamanthaTacker1	2412601026	RT @carlyaquilino: If you feel sick please don’t waste the few COVID-19 tests they have. There are still a LOT of movie stars with no sympt…	
61	P06kubangpasu	990226037739958273	RT @nusantaradaily: RM3.3 bilion bantu PKS terjejas COVID-19, kata Tengku Zafrul https://t.co/OMr5Epl919 https://t.co/XaWzI2Whkk	Kedah
62	Sharat57	3623125458	Market LIVE: Sensex, Nifty to open flat; S&amp;P Global, other agencies cut India’s GDP forecast amid Covid-19 https://t.co/ioA96eDuTF via @FinancialXpress	
63	luisgarci_a	131913007	RT @GobiernoMX: Respetamos la decisión de otros países pero en México no habrá toque de queda ni restricción a las libertades para contener…	Mexico, ME
64	BraulioGarces	158215565	RT @MinSaludCol: Confirmamos 20 nuevos casos de coronavirus en Colombia. Los diagnósticos se presentan en Bogotá (8), Cúcuta (3), Armenia (…	Barranquilla, Colombia
65	djspencer76	53080611	RT @JeffCoToday: One frequently asked question we are getting with the courthouse being closed to the public is how do I get a marriage lic…	Alabama
66	MaGeneroso19	204159287	"RT @michaelgclump: BREAKING NEWS:

Due to the spread of COVID-19, the Michael Scott's Dunder Mifflin Scranton Meredith Palmer Memorial Cele…"	
67	ashshafeeqah	2166230532	RT @amofficial77: Ahli Parlimen Muar sedekahkan semua gaji dia untuk bulan ini kepada mereka yang memerlukan di saat COVID-19 ni. Terima ka…	Malaysia
68	praxic__	3008691650	Hospital Administrators: US Physicians/Healthcare Workers For Personal Protective Equipment in COVID-19 Pandemic ( DO NOT DONATE!) - Sign the Petition! https://t.co/zLriuNNBLx via @Change	
69	DanielleGembala	15878034	RT @muskrat_john: I'm old enough to remember when Wisconsin's own Senator Ron Johnson said it was OK if 3.4% of the population died from CO…	Occupied Cowlitz Lands
70	storyofveevee	238936643	"RT @rntsht_: Yang mau tau informasi tentang covid-19 bisa kontak no di bawah ini. Ini sudah terverikasi.
Link : https://t.co/ah5GZ5wqQ2 htt…"	3기 아로하
71	loretadsc	835600515291561984	RT @David_DiazF: #QuedateEnCasa Video realizado por urgenciologos, becados y personal de salud que está día a día luchando en el control de…	Concepción, Chile
72	dianielizabeth	136400246	RT @isnardobravo: Este jueves fue detenida por el Sebin en las Minas de Baruta Ligia Margarita Gamboa de 28 años quien aparece en un video…	Caracas-Venezuela
73	nigghost	317312775	"En el futuro, estoy convencido que todos nos reiremos de esto del covid-19.
 Bueno... no todos..."	
74	P06kubangpasu	990226037739958273	RT @nusantaradaily: Sedia panggil semula pesara doktor sekiranya kes COVID-19 meningkat mendadak https://t.co/iDhRjRzk8a https://t.co/qg4y5…	Kedah
75	hbaaanks	1120053699450159104	RT @Keyvan_S: 2 décès cette nuit du COVID-19 chez nous 🙃 sinon tout va bien continuer à sortir allez y 😉	
76	castlexnthehill	952517810	RT @polliforero: 🔴El ministerio del Interior se querelló contra Tomás León Marinkovic, joven que viajó a Temuco con Covid-19 sin esperar re…	Chile
77	Evelyn90740153	1034980330980040704	"RT @NorfolkTortoise: *** Tortoise Club Events 2020 ***

TO HELP REDUCE TRANSMISSION OF COVID-19, IT IS WITH MUCH SADNESS, WE CONFIRM ALL 20…"	
78	oktaelvpra	1206109831674777600	"RT @matchapila: Wow ini opini:
""Pemerintahan yg gagap dalam mengatasi Covid-19""

Pro atau Kontra? https://t.co/TrhpdJh0p6"	Bekasi Timur, Indonesia
79	chinazz_isme	712923410	RT @ExpansionMx: El mayor reto radica en reducir el contacto, y el mayor riesgo en asegurar la suficiencia en los servicios de salud. #Opin…	México
